symbol,feature,flagged,pct_flagged
ES,absorption,267,0.21832454311296454
ES,vacuum,511,0.41784210311132913
ES,regime,13714,11.213868105809723
ES,vpin,10417,8.517927961077723
ES,tpo,50523,41.31240034343187
ES,magnitude_projection(vol_budget),22927,99.86932090429934
MES,absorption,155,0.12674271229404308
MES,vacuum,350,0.28619322130912955
MES,regime,13699,11.201602682039331
MES,vpin,11487,9.392861523365632
MES,tpo,50565,41.34674352998896
MES,magnitude_projection(vol_budget),22939,99.86938917671644
MNQ,absorption,90,0.0735925426223476
MNQ,vacuum,345,0.2821047467189991
MNQ,regime,12995,10.625945459748968
MNQ,vpin,12186,9.964430271065865
MNQ,tpo,51486,42.099840549490985
MNQ,magnitude_projection(vol_budget),23060,99.87007362494586
YM,absorption,250,0.20451403375299615
YM,vacuum,602,0.49246979327721463
YM,regime,13161,10.766436792892728
YM,vpin,10756,8.799011788188906
YM,tpo,51252,41.92701303163423
YM,magnitude_projection(vol_budget),22740,99.86824769433466
MYM,absorption,180,0.1472501043021572
MYM,vacuum,376,0.3075891067645062
MYM,regime,13239,10.830245171423664
MYM,vpin,12244,10.016279317086738
MYM,tpo,51495,42.125800672442146
MYM,magnitude_projection(vol_budget),22748,99.86829396786374
RTY,absorption,499,0.4080397736564943
RTY,vacuum,704,0.5756713439963366
RTY,regime,12932,10.574690086023615
RTY,vpin,10788,8.821509174762046
RTY,tpo,52494,42.925130016681386
RTY,magnitude_projection(vol_budget),22724,99.8681550496616
M2K,absorption,244,0.19952245445327577
M2K,vacuum,394,0.3221797010434043
M2K,regime,13162,10.762764530795147
M2K,vpin,13098,10.710430772250024
M2K,tpo,52530,42.95456775586302
M2K,magnitude_projection(vol_budget),22747,99.86828818545024
MGC,absorption,84,0.08807339449541285
MGC,vacuum,447,0.46867627785058974
MGC,regime,9159,9.603145478374836
MGC,vpin,11544,12.103800786369593
MGC,tpo,32829,34.42096985583224
MGC,magnitude_projection(vol_budget),16925,99.82306104393984
MCL,absorption,160,0.20194625705234193
MCL,vacuum,857,1.0816746393366066
MCL,regime,6428,8.113190877077837
MCL,vpin,6980,8.809905463908416
MCL,tpo,31038,39.175049539941185
MCL,magnitude_projection(vol_budget),13648,99.78066968855096
