symbol,family,n_bars,n_high_conf,close_hit_rate_at_conf065,duration_hit_rate_at_conf065,zone_width_monotonic_negative,spearman_rho_zw_vs_hit,verdict,agree_3of4_pct,zone_ok_pct,horizon_ok_pct,vpin_ok_pct,regime_ok_pct,before_latest_entry_pct,joint_eligible_pct,joint_eligible_count
ES,sp500,122295,2974,0.6980497646267653,0.8735709482178884,True,-0.9999999999999999,FAIL,89.72811643975632,24.247925099145508,99.55435626967578,91.48207203892228,11.096120037613966,92.45431129645529,2.058138108671655,2517
MES,sp500,122295,3207,0.7149984409105082,0.8705955721858435,True,-0.9999999999999999,PASS,89.94562328795126,24.933153440451367,99.73506684655955,90.60713847663436,11.087943088433704,92.45431129645529,2.1227360071957153,2596
MNQ,nasdaq,122295,2971,0.705822955233928,0.8606529787950186,True,-0.9999999999999999,PASS,90.64475244286356,23.559425978167546,99.89533505049266,90.03556972893414,10.497567357618873,92.45431129645529,1.9722801422789156,2412
YM,dow,122241,2845,0.6917398945518454,0.8773286467486819,True,-0.9999999999999999,FAIL,89.90109701327705,22.26012548981111,99.92882911625397,91.2009882118111,10.624095025400642,92.45588632291948,1.802177665431402,2203
MYM,dow,122241,2847,0.6916051984545135,0.8960309097295399,True,-0.9999999999999999,FAIL,89.92891092186746,22.355838057607514,99.92637494784891,89.98372068291326,10.686267291661554,92.45588632291948,1.8046318338364378,2206
RTY,russell,122292,3001,0.6997667444185272,0.8650449850049984,True,-0.9999999999999999,FAIL,90.07866418081313,21.58685768488536,99.73996663722893,91.17849082523796,10.470022568933372,92.45412618977528,1.8840153076243746,2304
M2K,russell,122292,2762,0.7074583635047067,0.8548153511947864,True,-0.9999999999999999,PASS,90.06394531122231,21.772478984725087,99.82827985477381,89.28956922774998,10.656461583750367,92.45412618977528,1.848853563601871,2261
MGC,gold,95375,2006,0.715852442671984,0.7991026919242273,True,-0.9999999999999999,PASS,88.34285714285714,28.14154652686763,99.31009174311927,87.89619921363041,9.381913499344693,90.1305373525557,1.9260812581913498,1837
MCL,oil,79229,1342,0.7302533532041728,0.8099850968703428,True,-0.9999999999999999,PASS,89.18199144252735,26.785646669780007,99.78416993777532,91.19009453609158,8.008431256231935,90.9629049969077,1.3088641785204913,1037
