bucket,n,hit_rate,midpoint,symbol
0,108025,0.755038185605184,0.05,ES
1,288,0.6527777777777778,0.15,ES
2,1006,0.6679920477137177,0.25,ES
3,2252,0.6505328596802842,0.35,ES
4,3118,0.6744708146247594,0.45,ES
5,3245,0.6745762711864407,0.55,ES
6,2501,0.6797281087564974,0.65,ES
7,1428,0.6974789915966386,0.75,ES
8,406,0.7241379310344828,0.85,ES
9,26,0.8076923076923077,0.95,ES
0,107953,0.7520958194769947,0.05,MES
1,295,0.6305084745762712,0.15,MES
2,1069,0.6538821328344246,0.25,MES
3,2161,0.6631189264229523,0.35,MES
4,3078,0.6738141650422352,0.45,MES
5,3179,0.6942434727901856,0.55,MES
6,2548,0.6993720565149136,0.65,MES
7,1524,0.7178477690288714,0.75,MES
8,466,0.7360515021459227,0.85,MES
9,22,0.8181818181818182,0.95,MES
0,108372,0.7628815561215074,0.05,MNQ
1,274,0.6678832116788321,0.15,MNQ
2,1023,0.6529814271749755,0.25,MNQ
3,2105,0.6655581947743467,0.35,MNQ
4,3102,0.6508704061895552,0.45,MNQ
5,3151,0.6702634084417646,0.55,MNQ
6,2438,0.6948318293683347,0.65,MNQ
7,1366,0.7079062957540263,0.75,MNQ
8,436,0.7018348623853211,0.85,MNQ
9,28,0.75,0.95,MNQ
0,109020,0.7626765731058521,0.05,YM
1,252,0.6547619047619048,0.15,YM
2,983,0.6632756866734486,0.25,YM
3,2089,0.6797510770703686,0.35,YM
4,2841,0.6902499120028159,0.45,YM
5,2979,0.6884860691507217,0.55,YM
6,2253,0.6622281402574345,0.65,YM
7,1399,0.7119370979270908,0.75,YM
8,398,0.6934673366834171,0.85,YM
9,27,0.6666666666666666,0.95,YM
0,109099,0.7628484220753627,0.05,MYM
1,258,0.6317829457364341,0.15,MYM
2,969,0.6295149638802889,0.25,MYM
3,2010,0.6721393034825871,0.35,MYM
4,2796,0.6530758226037195,0.45,MYM
5,2985,0.6767169179229481,0.55,MYM
6,2278,0.6672519754170325,0.65,MYM
7,1377,0.7051561365286856,0.75,MYM
8,438,0.7168949771689498,0.85,MYM
9,31,0.5161290322580645,0.95,MYM
0,108770,0.7694676841040728,0.05,RTY
1,256,0.7265625,0.15,RTY
2,956,0.6286610878661087,0.25,RTY
3,2097,0.6742966142107774,0.35,RTY
4,2843,0.6799155821315512,0.45,RTY
5,3033,0.680844048796571,0.55,RTY
6,2477,0.6798546628986677,0.65,RTY
7,1386,0.7077922077922078,0.75,RTY
8,452,0.7345132743362832,0.85,RTY
9,22,0.8181818181818182,0.95,RTY
0,108974,0.7656872281461633,0.05,M2K
1,277,0.6389891696750902,0.15,M2K
2,1083,0.6491228070175439,0.25,M2K
3,2099,0.6565030967127203,0.35,M2K
4,2882,0.6752255378209576,0.45,M2K
5,2924,0.7017783857729138,0.55,M2K
6,2305,0.6976138828633406,0.65,M2K
7,1325,0.6973584905660377,0.75,M2K
8,406,0.7610837438423645,0.85,M2K
9,17,0.7647058823529411,0.95,M2K
0,86073,0.7344347240133375,0.05,MGC
1,161,0.6521739130434783,0.15,MGC
2,686,0.6297376093294461,0.25,MGC
3,1343,0.6582278481012658,0.35,MGC
4,2052,0.702729044834308,0.45,MGC
5,2127,0.7075693464974142,0.55,MGC
6,1709,0.7103569338794616,0.65,MGC
7,938,0.7313432835820896,0.75,MGC
8,270,0.737037037037037,0.85,MGC
9,16,0.6875,0.95,MGC
0,72065,0.7353084021369597,0.05,MCL
1,172,0.6627906976744186,0.15,MCL
2,521,0.6238003838771593,0.25,MCL
3,1127,0.6264418811002662,0.35,MCL
4,1524,0.6410761154855643,0.45,MCL
5,1695,0.6631268436578172,0.55,MCL
6,1349,0.6834692364714603,0.65,MCL
7,634,0.7334384858044164,0.75,MCL
8,138,0.6594202898550725,0.85,MCL
9,4,1.0,0.95,MCL
