symbol,zw_quintile,hit_rate
ES,0,0.691992600422833
ES,1,0.6661821065151315
ES,2,0.638165719571825
ES,3,0.6248182899431743
ES,4,0.5681247522135588
MES,0,0.7035214914552046
MES,1,0.6718891622426518
MES,2,0.6308429366826362
MES,3,0.6186715007121585
MES,4,0.5702447235530235
MNQ,0,0.6951971326164874
MNQ,1,0.6555778606251792
MNQ,2,0.6302508960573476
MNQ,3,0.6214511041009464
MNQ,4,0.5921146953405018
YM,0,0.7105185621685327
YM,1,0.6698585739540366
YM,2,0.6452563347083088
YM,3,0.6421626399528579
YM,4,0.5854449027695934
MYM,0,0.7028749259039715
MYM,1,0.6779309322661924
MYM,2,0.6384113811499703
MYM,3,0.6241292426263525
MYM,4,0.5745406046235921
RTY,0,0.7082891347173814
RTY,1,0.6949075477417399
RTY,2,0.6752538263373238
RTY,3,0.6335253107002122
RTY,4,0.5899378693741476
M2K,0,0.6988393402565669
M2K,1,0.6891706124942721
M2K,2,0.6708416068428288
M2K,3,0.6294486024133191
M2K,4,0.5831678631434245
MGC,0,0.6960050931083878
MGC,1,0.6719719879038676
MGC,2,0.6382301448352697
MGC,3,0.5960528409995225
MGC,4,0.5562629317205157
MCL,0,0.6803261551327618
MCL,1,0.6562107904642409
MCL,2,0.6185696361355082
MCL,3,0.5750731911334169
MCL,4,0.5662902551233794
