symbol,confidence,eligible_bars,blocked_by_roll_skip,roll_skip_bar_count,flagged_roll_dates
ES,0.5,2086,40,2307,30
ES,0.65,1343,30,2307,30
MES,0.5,2129,57,2418,31
MES,0.65,1422,41,2418,31
MNQ,0.5,1973,55,3198,41
MNQ,0.65,1242,40,3198,41
YM,0.5,1861,33,3009,39
YM,0.65,1214,20,3009,39
MYM,0.5,1864,29,2619,34
MYM,0.65,1204,19,2619,34
RTY,0.5,1971,33,2775,36
RTY,0.65,1302,17,2775,36
M2K,0.5,1874,22,2463,32
M2K,0.65,1241,11,2463,32
MGC,0.5,1489,130,9000,150
MGC,0.65,947,83,9000,150
MCL,0.5,825,87,6921,105
MCL,0.65,477,46,6921,105
