symbol,confidence,slippage,n_trades,net_profit,profit_factor,sharpe
ES,0.5,1.0,1275,-66406.90169094883,0.7145765383497148,-2.4243442364709438
ES,0.5,2.0,1289,-131082.87858043975,0.5143430178511127,-4.769447039271044
ES,0.5,3.0,1298,-198444.99658917007,0.3635251533296579,-7.194029329072498
ES,0.65,1.0,871,-48294.02065282579,0.7048570392319616,-2.5418637075926283
ES,0.65,2.0,875,-89490.59155983158,0.5207925109585598,-4.71499800550709
ES,0.65,3.0,876,-134618.9279176063,0.3712657960063496,-7.10032104776573
MES,0.5,1.0,1294,-55260.68783550228,0.7123058599841754,-2.512253781442784
MES,0.5,2.0,1301,-79685.18077435443,0.48393020351895366,-4.77381027047458
MES,0.5,3.0,1298,-90175.33572440554,0.31759655543168225,-6.368389364356825
MES,0.65,1.0,907,-43697.55055767035,0.7106002387295881,-2.564351546445783
MES,0.65,2.0,904,-68454.80137236472,0.48492263017435966,-5.0182220244360085
MES,0.65,3.0,908,-82462.39301054981,0.3126665887588652,-7.07986370835692
MNQ,0.5,1.0,1214,-35048.8903625598,0.8465042494847458,-1.2955129728730455
MNQ,0.5,2.0,1209,-46814.05773735268,0.7807780759210524,-1.9002296845366957
MNQ,0.5,3.0,1207,-55935.315923911185,0.7196312396428058,-2.4822957688887333
MNQ,0.65,1.0,821,-22987.313036033633,0.8589900047880397,-1.1879836509606707
MNQ,0.65,2.0,819,-32337.95620009045,0.7959804519477911,-1.7728381240613535
MNQ,0.65,3.0,816,-40844.023902349436,0.7318707647422678,-2.401118394189486
YM,0.5,1.0,1159,-16131.854605280678,0.9044879949380082,-0.7467959688807514
YM,0.5,2.0,1159,-44039.686588246244,0.7261711069485379,-2.3402801526339103
YM,0.5,3.0,1157,-68092.60620841847,0.5975074725807542,-3.740813538526324
YM,0.65,1.0,823,-19774.93428919499,0.83995326738272,-1.2961490193977467
YM,0.65,2.0,820,-40568.16700248062,0.6745900971309837,-2.8861550607831803
YM,0.65,3.0,819,-56824.62369182638,0.5527420848436303,-4.3001013483409585
MYM,0.5,1.0,1189,-31781.926840877735,0.8508460620294982,-1.2278764423375361
MYM,0.5,2.0,1185,-56646.70370862779,0.6994097378537151,-2.6344463217706653
MYM,0.5,3.0,1187,-70889.59921915075,0.5806625939010602,-3.8313354083404594
MYM,0.65,1.0,810,-16310.466268702156,0.8919895438132008,-0.8750668689797452
MYM,0.65,2.0,806,-38366.18673670669,0.7309052350151575,-2.359018621599612
MYM,0.65,3.0,807,-53226.34910425187,0.606353053622922,-3.6714254114435403
RTY,0.5,1.0,1190,-37828.70976981666,0.8053346018523957,-1.6515095852127788
RTY,0.5,2.0,1185,-61458.55196835506,0.6459574837763423,-3.226946915617351
RTY,0.5,3.0,1189,-85201.80281744266,0.5111659169013187,-4.8434071654147965
RTY,0.65,1.0,841,-31514.028238317977,0.7801157322656594,-1.9006514044901512
RTY,0.65,2.0,837,-50889.2056368942,0.6228697089561003,-3.5226423253451853
RTY,0.65,3.0,845,-67548.8604869461,0.4986443807466204,-5.071798956187959
M2K,0.5,1.0,1131,-47474.62547096565,0.7736459980862332,-1.9857653594616926
M2K,0.5,2.0,1132,-71755.81428337243,0.6034275265552987,-3.6894923919155658
M2K,0.5,3.0,1128,-83250.75992708176,0.48327055160020677,-4.901694712306067
M2K,0.65,1.0,787,-36994.81852309847,0.7669827147478273,-2.0615830439228744
M2K,0.65,2.0,785,-59386.40774127219,0.5979186933027802,-3.8567233554775555
M2K,0.65,3.0,783,-72454.41465762226,0.47713712302204525,-5.261975817784851
MGC,0.5,1.0,725,-32360.140144072597,0.7528572566085082,-2.152922787890291
MGC,0.5,2.0,731,-54491.55814931949,0.5472887439565625,-4.391479598847838
MGC,0.5,3.0,732,-70777.95302590587,0.3596138039049523,-6.797490413142882
MGC,0.65,1.0,495,-20119.45440152817,0.7905046105186863,-1.7929777223757617
MGC,0.65,2.0,494,-41519.98372720682,0.5490748239866123,-4.455559397504553
MGC,0.65,3.0,499,-56450.82668811098,0.37636152552923263,-6.835778770445942
MCL,0.5,1.0,450,-32459.380614319332,0.7028610616072349,-2.740527442332799
MCL,0.5,2.0,455,-61806.31161313276,0.4314978390685787,-6.180334985705088
MCL,0.5,3.0,459,-77708.73069535135,0.2764726644379424,-8.733028593429843
MCL,0.65,1.0,288,-31120.22574145253,0.6018077177542498,-3.9889411350728783
MCL,0.65,2.0,290,-50650.64078949146,0.38559005053018064,-7.213968910944672
MCL,0.65,3.0,291,-64298.331819723586,0.24478145617845481,-10.003049120704405
