symbol,confidence,n_eligible_bars,n_roll_skip_blocked_eligible,n_trades,conversion_rate
ES,0.5,2086,40,928,0.4448705656759348
ES,0.65,1343,30,639,0.4758004467609829
MES,0.5,2129,57,885,0.4156881164866134
MES,0.65,1422,41,626,0.44022503516174405
MNQ,0.5,1973,55,877,0.44450076026355806
MNQ,0.65,1242,40,586,0.4718196457326892
YM,0.5,1861,33,833,0.44760881246641593
YM,0.65,1214,20,579,0.4769357495881384
MYM,0.5,1864,29,829,0.4447424892703863
MYM,0.65,1204,19,573,0.47591362126245845
RTY,0.5,1971,33,810,0.410958904109589
RTY,0.65,1302,17,572,0.4393241167434716
M2K,0.5,1874,22,800,0.42689434364994666
M2K,0.65,1241,11,572,0.46091861402095086
MGC,0.5,1489,130,568,0.38146406984553394
MGC,0.65,947,83,381,0.40232312565997885
MCL,0.5,825,87,329,0.3987878787878788
MCL,0.65,477,46,213,0.44654088050314467
