feature,value,n_trades,n_winners,winner_rate
regime_label,noise_mean_reverting,4741,330,0.06960556844547564
vpin_gate,allow,4132,286,0.06921587608906099
vpin_gate,half_size,609,44,0.0722495894909688
session_phase,close,660,67,0.10151515151515152
session_phase,mid,4081,263,0.06444498897329086
has_structural_override,False,3230,204,0.06315789473684211
has_structural_override,True,1511,126,0.08338848444738584
override_kind,failed_auction,1484,125,0.08423180592991913
override_kind,none,3230,204,0.06315789473684211
override_kind,vacuum_continuation,25,1,0.04
override_kind,vacuum_reversal,2,0,0.0
entry_hour_et,9,3,1,0.3333333333333333
entry_hour_et,11,229,13,0.056768558951965066
entry_hour_et,12,1303,80,0.06139677666922486
entry_hour_et,13,1264,74,0.058544303797468354
entry_hour_et,14,1175,85,0.07234042553191489
entry_hour_et,15,767,77,0.10039113428943937
